unique couple ID,are they siblings?,# votes,Yes' answers,No' answers,first picture,second picture
0130_0129,-1,443,50,393,"130/DSC0379+130/DSC0382","129/DSC0369+129/DSC0375"
0133_0130,1,443,107,336,"133/DSC0401+133/DSC0404","130/DSC0379+130/DSC0382"
0137_0133,-1,444,32,412,"137/DSC0441+137/DSC0449","133/DSC0401+133/DSC0404"
0138_0137,1,444,100,344,"138/DSC0452+138/DSC0455","137/DSC0441+137/DSC0449"
0144_0143,-1,443,192,251,"144/DSC0534+144/DSC0538","143/DSC0527+143/DSC0531"
0145_0144,1,443,359,84,"145/DSC0542+145/DSC0545","144/DSC0534+144/DSC0538"
0146_0145,-1,443,67,376,"146/DSC0550+146/DSC0553","145/DSC0542+145/DSC0545"
0149_0148,1,444,265,179,"149/DSC0564+149/DSC0568","148/DSC0557+148/DSC0560"
0150_0148,-1,444,62,382,"150/DSC0572+150/DSC0576","148/DSC0557+148/DSC0560"
0150_0149,-1,444,39,405,"150/DSC0572+150/DSC0576","149/DSC0564+149/DSC0568"
0151_0150,1,444,173,271,"151/DSC0579+151/DSC0583","150/DSC0572+150/DSC0576"
0152_0150,1,443,292,151,"152/DSC0585+152/DSC0588","150/DSC0572+150/DSC0576"
0152_0151,1,443,177,266,"152/DSC0585+152/DSC0588","151/DSC0579+151/DSC0583"
0153_0151,-1,444,21,423,"153/DSC0592+153/DSC0595","151/DSC0579+151/DSC0583"
0154_0151,-1,444,10,434,"154/DSC0598+154/DSC0605","151/DSC0579+151/DSC0583"
0154_0153,1,444,271,173,"154/DSC0598+154/DSC0605","153/DSC0592+153/DSC0595"
0155_0152,-1,444,140,304,"155/DSC0609+155/DSC0612","152/DSC0585+152/DSC0588"
0162_0161,1,444,145,299,"162/DSC0625+162/DSC0629","161/DSC0617+161/DSC0623"
0164_0163,1,444,214,230,"164/DSC0641+164/DSC0646","163/DSC0633+163/DSC0637"
0165_0161,-1,443,64,379,"165/DSC0652+165/DSC0654","161/DSC0617+161/DSC0623"
0166_0161,-1,444,75,369,"166/DSC0657+166/DSC0661","161/DSC0617+161/DSC0623"
0166_0165,1,443,123,320,"166/DSC0657+166/DSC0661","165/DSC0652+165/DSC0654"
0167_0162,-1,443,82,361,"167/DSC0666+167/DSC0669","162/DSC0625+162/DSC0629"
0168_0162,-1,443,43,400,"168_DSCK0014+168_DSCK0011","162/DSC0625+162/DSC0629"
0168_0167,1,444,213,231,"168_DSCK0014+168_DSCK0011","167/DSC0666+167/DSC0669"
0177_0173,-1,444,140,304,"177/DSC0707+177/DSC0710","173/DSC0682+173/DSC0684"
0182_0181,1,444,343,101,"182/DSC0720+182/DSC0725","181/DSC0714+181/DSC0717"
0183_0181,-1,444,126,318,"183/DSC0729+183/DSC0732","181/DSC0714+181/DSC0717"
0184_0182,-1,444,44,400,"184/DSC0736+184/DSC0740","182/DSC0720+182/DSC0725"
0184_0183,1,443,243,200,"184/DSC0736+184/DSC0740","183/DSC0729+183/DSC0732"
0186_0185,1,444,139,305,"186/DSC0751+186/DSC0754","185/DSC0743+185/DSC0746"
0190_0185,-1,443,58,385,"190/DSC0784+190/DSC0787","185/DSC0743+185/DSC0746"
0191_0186,-1,444,225,219,"191/DSC0791+191/DSC0795","186/DSC0751+186/DSC0754"
0191_0190,1,444,57,387,"191/DSC0791+191/DSC0795","190/DSC0784+190/DSC0787"
0193_0192,1,444,264,180,"193/DSC0806+193/DSC0809","192/DSC0801+192/DSC0803"
0194_0192,-1,444,125,319,"194/DSC0812+194/DSC0816","192/DSC0801+192/DSC0803"
0199_0198,1,444,220,224,"199/DSC0829+199/DSC0832","198/DSC0822+198/DSC0824"
0201_0198,-1,444,24,420,"201/DSC0852+201/DSC0856","198/DSC0822+198/DSC0824"
0202_0199,-1,443,56,387,"202/DSC0859+202/DSC0864","199/DSC0829+199/DSC0832"
0202_0201,1,444,227,217,"202/DSC0859+202/DSC0864","201/DSC0852+201/DSC0856"
0205_0204,1,444,76,368,"205/DSC0875+205/DSC0878","204/DSC0868+204/DSC0870"
0207_0204,-1,443,116,327,"207/DSC0882+207/DSC0885","204/DSC0868+204/DSC0870"
0207_0205,-1,444,14,430,"207/DSC0882+207/DSC0885","205/DSC0875+205/DSC0878"
0208_0207,1,443,174,269,"208/DSC0888+208/DSC0892","207/DSC0882+207/DSC0885"
0209_0207,1,444,221,223,"209/DSC0898+209/DSC0903","207/DSC0882+207/DSC0885"
0209_0208,1,444,136,308,"209/DSC0898+209/DSC0903","208/DSC0888+208/DSC0892"
0210_0208,-1,444,33,411,"210/DSC2164+210/DSC2166","208/DSC0888+208/DSC0892"
0211_0208,-1,443,62,381,"211/DSC2170+211/DSC2174","208/DSC0888+208/DSC0892"
0211_0210,1,444,124,320,"211/DSC2170+211/DSC2174","210/DSC2164+210/DSC2166"
0212_0209,-1,444,37,407,"212/DSC2175+212/DSC2180","209/DSC0898+209/DSC0903"
0213_0209,-1,444,104,340,"213/DSC2184+213/DSC2187","209/DSC0898+209/DSC0903"
0213_0212,1,444,302,142,"213/DSC2184+213/DSC2187","212/DSC2175+212/DSC2180"
0217_0216,1,444,298,146,"217/DSC2217+217/DSC2219","216/DSC2209+216/DSC2211"
0218_0216,-1,443,91,352,"218/DSC2223+218/DSC2228","216/DSC2209+216/DSC2211"
0219_0217,-1,444,63,381,"219/DSC2232+219/DSC2236","217/DSC2217+217/DSC2219"
0219_0218,1,444,199,245,"219/DSC2232+219/DSC2236","218/DSC2223+218/DSC2228"
0221_0220,1,444,305,139,"221/DSC2256+221/DSC2260","220/DSC2248+220/DSC2252"
0224_0220,-1,444,75,369,"224/DSC2281+224/DSC2285","220/DSC2248+220/DSC2252"
0226_0221,-1,444,88,356,"226/DSC2297+226/DSC2300","221/DSC2256+221/DSC2260"
0227_0226,1,444,162,282,"227/DSC2305+227/DSC2309","226/DSC2297+226/DSC2300"
0228_0227,-1,444,44,400,"228/DSC2891+228/DSC2895","227/DSC2305+227/DSC2309"
0229_0228,1,444,201,243,"229/DSC2898+229/DSC2903","228/DSC2891+228/DSC2895"
0237_0236,1,443,129,314,"237/DSC2922+237/DSC2926","236/DSC2913+236/DSC2917"
0240_0237,-1,443,25,418,"240/DSC2946+240/DSC2952","237/DSC2922+237/DSC2926"
0247_0246,1,443,260,183,"247/DSC2966+247/DSC2970","246/DSC2982+246/DSC2986"
0248_0246,-1,444,119,325,"248/DSC2992+248/DSC2999","246/DSC2982+246/DSC2986"
0249_0247,-1,443,54,389,"249/DSC3002+249/DSC3009","247/DSC2966+247/DSC2970"
0249_0248,1,444,176,268,"249/DSC3002+249/DSC3009","248/DSC2992+248/DSC2999"
0251_0250,1,444,177,267,"251/DSC3023+251/DSC3029","250/DSC3013+250/DSC3018"
0254_0250,-1,444,134,310,"254/DSC3036+254/DSC3039","250/DSC3013+250/DSC3018"
0255_0251,-1,444,60,384,"255/DSC3048+255/DSC3049","251/DSC3023+251/DSC3029"
0255_0254,1,443,270,173,"255/DSC3048+255/DSC3049","254/DSC3036+254/DSC3039"
0267_0266,1,444,151,293,"267/DSC3077+267/DSC3079","266/DSC3067+266/DSC3069"
